h,seed,rel_err_vs_kernel,rel_err_vs_star,tv_mixture,n_eff
0.01,0,0.34025257763763267,0.4658528044819832,0.00150000536814332,1.0
0.01,1,0.3437306818862756,0.6792521451910337,0.4742286205291748,4.187299103718789
0.01,2,0.3220260093609492,0.7169874981045723,0.20693841576576233,4.064877533361205
0.05,0,0.20083198261757693,0.5424337523678938,0.19937247037887573,1.660005266766102
0.05,1,0.1886210230489572,0.7978911225994428,0.2050965428352356,29.25305765248226
0.05,2,0.18780199935038885,0.797391434510549,0.2026340663433075,15.13766719627092
0.1,0,0.19768764078617096,0.5888773004213969,0.13776667416095734,5.509770017941697
0.1,1,0.14055761074026427,0.8024995351831118,0.16932471096515656,48.32698999795877
0.1,2,0.15410914396246275,0.8148732831080755,0.11987069994211197,28.011385108403836
0.5,0,0.1612663051734368,0.6940887322028478,0.12424848973751068,28.309939597646128
0.5,1,0.1515018114199241,0.8405546943346659,0.16559898853302002,144.47450557222982
0.5,2,0.20991380388538042,0.8957148343324661,0.17923830449581146,139.3756167093782
